Order Date,Customer Name,Country,City,State,Region,Category,Sales,Quantity
02-02-2017,Dorothy Wardle,United States,Columbus,Ohio,East,Office Supplies,78.304,2
02-02-2017,Dorothy Wardle,United States,Columbus,Ohio,East,Office Supplies,21.456,9
13-10-2016,Lena Creighton,United States,Roseville,California,West,Office Supplies,20.04,3
13-10-2016,Lena Creighton,United States,Roseville,California,West,Office Supplies,35.44,1
13-10-2016,Lena Creighton,United States,Roseville,California,West,Office Supplies,11.52,4
13-10-2016,Lena Creighton,United States,Roseville,California,West,Office Supplies,4.02,2
13-10-2016,Lena Creighton,United States,Roseville,California,West,Office Supplies,76.176,3
13-10-2016,Lena Creighton,United States,Roseville,California,West,Office Supplies,65.88,6
13-10-2016,Lena Creighton,United States,Roseville,California,West,Furniture,43.12,14
05-09-2016,Jonathan Doherty,United States,Philadelphia,Pennsylvania,East,Furniture,82.8,2
18-09-2017,Sally Hughsby,United States,San Francisco,California,West,Office Supplies,8.82,3
18-09-2017,Sally Hughsby,United States,San Francisco,California,West,Office Supplies,10.86,3
18-09-2017,Sally Hughsby,United States,San Francisco,California,West,Office Supplies,143.7,3
22-12-2017,Sandra Glassco,United States,Independence,Missouri,Central,Office Supplies,839.43,3
07-09-2015,Helen Andreada,United States,Pasadena,California,West,Office Supplies,671.93,7
22-10-2014,Maureen Gastineau,United States,Newark,Ohio,East,Furniture,93.888,4
05-12-2016,Justin Ellison,United States,Franklin,Wisconsin,Central,Technology,384.45,11
05-12-2016,Justin Ellison,United States,Franklin,Wisconsin,Central,Technology,149.97,3
05-12-2016,Justin Ellison,United States,Franklin,Wisconsin,Central,Furniture,1951.84,8
05-12-2016,Justin Ellison,United States,Franklin,Wisconsin,Central,Office Supplies,171.55,5
13-03-2016,Tamara Willingham,United States,Scottsdale,Arizona,West,Office Supplies,157.92,5
13-03-2016,Tamara Willingham,United States,Scottsdale,Arizona,West,Technology,203.184,2
31-05-2015,Stephanie Phelps,United States,San Jose,California,West,Office Supplies,58.38,7
31-05-2015,Stephanie Phelps,United States,San Jose,California,West,Office Supplies,105.52,4
31-05-2015,Stephanie Phelps,United States,San Jose,California,West,Office Supplies,80.88,6
28-05-2015,Neil Knudson,United States,Seattle,Washington,West,Office Supplies,6.63,3
01-03-2014,Dave Brooks,United States,Seattle,Washington,West,Furniture,457.568,2
20-11-2016,Nora Paige,United States,Edmond,Oklahoma,Central,Office Supplies,14.62,2
20-11-2016,Nora Paige,United States,Edmond,Oklahoma,Central,Technology,944.93,7
11-05-2016,Ted Trevino,United States,Los Angeles,California,West,Office Supplies,5.98,1
28-12-2015,Eric Murdock,United States,Philadelphia,Pennsylvania,East,Technology,54.384,2
16-11-2016,Ruben Dartt,United States,Carlsbad,New Mexico,West,Office Supplies,28.4,5
07-11-2016,Max Jones,United States,Seattle,Washington,West,Office Supplies,27.68,2
08-09-2014,Becky Martin,United States,San Antonio,Texas,Central,Office Supplies,9.936,3
08-09-2014,Becky Martin,United States,San Antonio,Texas,Central,Technology,8159.952,8
08-09-2014,Becky Martin,United States,San Antonio,Texas,Central,Office Supplies,275.928,3
08-09-2014,Becky Martin,United States,San Antonio,Texas,Central,Furniture,1740.06,9
08-09-2014,Becky Martin,United States,San Antonio,Texas,Central,Office Supplies,32.064,6
08-09-2014,Becky Martin,United States,San Antonio,Texas,Central,Office Supplies,177.98,5
08-09-2014,Becky Martin,United States,San Antonio,Texas,Central,Technology,143.976,3
05-08-2014,Chad Sievert,United States,Los Angeles,California,West,Office Supplies,20.94,3
05-08-2014,Chad Sievert,United States,Los Angeles,California,West,Office Supplies,110.96,2
05-08-2014,Chad Sievert,United States,Los Angeles,California,West,Furniture,340.144,7
14-09-2014,Jennifer Braxton,United States,Chicago,Illinois,Central,Office Supplies,52.448,2
14-09-2014,Jennifer Braxton,United States,Chicago,Illinois,Central,Office Supplies,20.16,4
21-04-2017,Shirley Jackson,United States,Houston,Texas,Central,Office Supplies,97.264,4
21-11-2015,Joel Eaton,United States,Newark,Ohio,East,Furniture,396.802,7
21-11-2015,Joel Eaton,United States,Newark,Ohio,East,Office Supplies,15.88,5
15-12-2015,Jim Kriz,United States,New York City,New York,East,Office Supplies,3.28,1
05-12-2014,David Kendrick,United States,Decatur,Illinois,Central,Office Supplies,24.816,2
05-12-2014,David Kendrick,United States,Decatur,Illinois,Central,Technology,408.744,7
19-11-2014,Robert Marley,United States,Monroe,Louisiana,South,Technology,503.96,4
19-11-2014,Robert Marley,United States,Monroe,Louisiana,South,Technology,149.95,5
19-11-2014,Robert Marley,United States,Monroe,Louisiana,South,Technology,29,2
28-11-2016,Sally Knutson,United States,Fairfield,Connecticut,East,Office Supplies,7.16,2
26-08-2014,Frank Merwin,United States,Los Angeles,California,West,Technology,176.8,8
16-07-2016,Alice McCarthy,United States,Grand Prairie,Texas,Central,Office Supplies,37.224,3
16-07-2016,Alice McCarthy,United States,Grand Prairie,Texas,Central,Office Supplies,20.016,3
12-10-2015,Mark Packer,United States,New York City,New York,East,Furniture,899.136,4
12-10-2015,Mark Packer,United States,New York City,New York,East,Technology,71.76,6
12-10-2015,Mark Packer,United States,New York City,New York,East,Office Supplies,51.84,8
12-10-2015,Mark Packer,United States,New York City,New York,East,Furniture,626.352,3
12-10-2015,Mark Packer,United States,New York City,New York,East,Office Supplies,19.9,5
31-10-2015,Mary Zewe,United States,Redlands,California,West,Office Supplies,14.28,7
21-03-2014,Cassandra Brandow,United States,Hamilton,Ohio,East,Office Supplies,7.408,2
21-03-2014,Cassandra Brandow,United States,Hamilton,Ohio,East,Office Supplies,6.048,3
06-11-2017,Valerie Mitchum,United States,Westfield,New Jersey,East,Office Supplies,46.26,3
06-07-2017,Fred Hopkins,United States,Philadelphia,Pennsylvania,East,Office Supplies,2.946,2
06-07-2017,Fred Hopkins,United States,Philadelphia,Pennsylvania,East,Office Supplies,16.056,3
24-06-2017,Maria Bertelson,United States,Akron,Ohio,East,Office Supplies,21.744,3
03-08-2014,Bruce Stewart,United States,Denver,Colorado,West,Furniture,218.75,2
03-08-2014,Bruce Stewart,United States,Denver,Colorado,West,Office Supplies,2.6,1
17-12-2017,Logan Currie,United States,Dallas,Texas,Central,Office Supplies,66.284,2
03-06-2017,Heather Kirkland,United States,Franklin,Tennessee,South,Furniture,35.168,7
09-12-2017,Laurel Elliston,United States,Whittier,California,West,Technology,444.768,4
01-12-2017,Joseph Holt,United States,Saginaw,Michigan,Central,Office Supplies,83.92,4
01-12-2017,Joseph Holt,United States,Saginaw,Michigan,Central,Technology,131.98,2
01-12-2017,Joseph Holt,United States,Saginaw,Michigan,Central,Office Supplies,15.92,4
01-12-2017,Joseph Holt,United States,Saginaw,Michigan,Central,Office Supplies,52.29,9
01-12-2017,Joseph Holt,United States,Saginaw,Michigan,Central,Office Supplies,91.99,1
09-02-2015,Michael Stewart,United States,Dallas,Texas,Central,Technology,20.8,2
02-01-2015,Victoria Wilson,United States,Medina,Ohio,East,Office Supplies,23.68,2
02-01-2015,Victoria Wilson,United States,Medina,Ohio,East,Furniture,452.45,5
02-01-2015,Victoria Wilson,United States,Medina,Ohio,East,Technology,62.982,3
02-01-2015,Victoria Wilson,United States,Medina,Ohio,East,Technology,1188,9
02-01-2015,Victoria Wilson,United States,Medina,Ohio,East,Technology,89.584,2
28-10-2016,Jonathan Howell,United States,Los Angeles,California,West,Office Supplies,93.06,6
28-10-2016,Jonathan Howell,United States,Los Angeles,California,West,Technology,302.376,3
24-12-2015,Joni Blumstein,United States,Dublin,Ohio,East,Office Supplies,5.584,2
24-12-2015,Joni Blumstein,United States,Dublin,Ohio,East,Office Supplies,22.704,6
24-12-2015,Joni Blumstein,United States,Dublin,Ohio,East,Office Supplies,19.776,4
24-12-2015,Joni Blumstein,United States,Dublin,Ohio,East,Furniture,72.704,4
24-12-2015,Joni Blumstein,United States,Dublin,Ohio,East,Technology,479.988,4
24-12-2015,Joni Blumstein,United States,Dublin,Ohio,East,Office Supplies,27.168,2
09-08-2015,David Smith,United States,Detroit,Michigan,Central,Office Supplies,2.2,1
09-08-2015,David Smith,United States,Detroit,Michigan,Central,Furniture,622.45,5
09-08-2015,David Smith,United States,Detroit,Michigan,Central,Office Supplies,21.98,1
28-02-2015,Valerie Dominguez,United States,Columbia,Tennessee,South,Furniture,161.568,2
28-02-2015,Valerie Dominguez,United States,Columbia,Tennessee,South,Furniture,389.696,8
13-09-2014,Erin Ashbrook,United States,Charlotte,North Carolina,South,Office Supplies,18.648,7
07-04-2017,Christopher Schild,United States,Tampa,Florida,South,Furniture,233.86,2
07-04-2017,Christopher Schild,United States,Tampa,Florida,South,Furniture,620.6145,3
07-04-2017,Christopher Schild,United States,Tampa,Florida,South,Office Supplies,5.328,2
07-04-2017,Christopher Schild,United States,Tampa,Florida,South,Furniture,258.072,3
07-04-2017,Christopher Schild,United States,Tampa,Florida,South,Technology,617.976,3
12-11-2017,David Bremer,United States,Santa Clara,California,West,Office Supplies,10.56,2
04-06-2016,Ken Lonsdale,United States,Chicago,Illinois,Central,Office Supplies,25.92,5
04-06-2016,Ken Lonsdale,United States,Chicago,Illinois,Central,Furniture,419.68,5
04-06-2016,Ken Lonsdale,United States,Chicago,Illinois,Central,Furniture,11.688,3
04-06-2016,Ken Lonsdale,United States,Chicago,Illinois,Central,Technology,31.984,2
04-06-2016,Ken Lonsdale,United States,Chicago,Illinois,Central,Furniture,177.225,5
04-06-2016,Ken Lonsdale,United States,Chicago,Illinois,Central,Furniture,4.044,3
04-06-2016,Ken Lonsdale,United States,Chicago,Illinois,Central,Office Supplies,7.408,2
01-06-2014,Dianna Wilson,United States,Lakeville,Minnesota,Central,Furniture,2001.86,7
01-06-2014,Dianna Wilson,United States,Lakeville,Minnesota,Central,Office Supplies,166.72,2
01-06-2014,Dianna Wilson,United States,Lakeville,Minnesota,Central,Office Supplies,47.88,6
01-06-2014,Dianna Wilson,United States,Lakeville,Minnesota,Central,Office Supplies,1503.25,5
01-06-2014,Dianna Wilson,United States,Lakeville,Minnesota,Central,Office Supplies,25.92,4
10-12-2016,Logan Haushalter,United States,San Francisco,California,West,Furniture,321.568,2
11-09-2016,Kelly Collister,United States,San Diego,California,West,Office Supplies,7.61,1
11-09-2016,Kelly Collister,United States,San Diego,California,West,Technology,3347.37,13
10-12-2016,Delfina Latchford,United States,New York City,New York,East,Office Supplies,80.58,6
10-12-2016,Delfina Latchford,United States,New York City,New York,East,Office Supplies,361.92,4
28-11-2015,Dan Reichenbach,United States,Chicago,Illinois,Central,Furniture,12.132,9
28-11-2015,Dan Reichenbach,United States,Chicago,Illinois,Central,Office Supplies,82.368,2
28-11-2015,Dan Reichenbach,United States,Chicago,Illinois,Central,Office Supplies,53.92,5
28-11-2015,Dan Reichenbach,United States,Chicago,Illinois,Central,Technology,647.904,6
01-12-2017,Craig Carreira,United States,New York City,New York,East,Technology,20.37,3
01-12-2017,Craig Carreira,United States,New York City,New York,East,Office Supplies,221.55,3
01-12-2017,Craig Carreira,United States,New York City,New York,East,Office Supplies,17.52,5
08-06-2017,Dorris liebe,United States,Pasadena,Texas,Central,Office Supplies,1.624,2
19-09-2014,Sean Braxton,United States,Houston,Texas,Central,Technology,3059.982,3
19-09-2014,Sean Braxton,United States,Houston,Texas,Central,Technology,2519.958,7
06-06-2016,Roy Collins,United States,Chicago,Illinois,Central,Technology,328.224,4
10-11-2015,Alan Hwang,United States,Brentwood,California,West,Technology,79.9,2
16-06-2017,Claudia Bergmann,United States,Chapel Hill,North Carolina,South,Office Supplies,14.016,3
22-01-2016,Paul Gonzalez,United States,Morristown,New Jersey,East,Office Supplies,7.56,6
09-12-2017,Christine Abelman,United States,Cincinnati,Ohio,East,Office Supplies,37.208,1
09-12-2017,Christine Abelman,United States,Cincinnati,Ohio,East,Office Supplies,57.576,3
28-12-2017,Kristen Hastings,United States,San Francisco,California,West,Office Supplies,725.84,4
30-07-2015,Helen Andreada,United States,San Francisco,California,West,Technology,209.93,7
30-07-2015,Helen Andreada,United States,San Francisco,California,West,Furniture,5.28,3
30-07-2015,Helen Andreada,United States,San Francisco,California,West,Office Supplies,10.92,3
16-09-2017,Barry Blumstein,United States,Inglewood,California,West,Office Supplies,8.82,2
16-09-2017,Barry Blumstein,United States,Inglewood,California,West,Office Supplies,5.98,1
13-10-2017,Andrew Gjertsen,United States,Philadelphia,Pennsylvania,East,Office Supplies,11.648,2
13-10-2017,Andrew Gjertsen,United States,Philadelphia,Pennsylvania,East,Office Supplies,18.176,4
13-10-2017,Andrew Gjertsen,United States,Philadelphia,Pennsylvania,East,Office Supplies,59.712,6
13-10-2017,Andrew Gjertsen,United States,Philadelphia,Pennsylvania,East,Office Supplies,24.84,3
26-09-2015,Steven Cartwright,United States,Houston,Texas,Central,Office Supplies,2.08,5
26-09-2015,Steven Cartwright,United States,Houston,Texas,Central,Technology,1114.4,7
02-11-2015,Jas O'Carroll,United States,Los Angeles,California,West,Furniture,1038.84,5
26-09-2015,Tracy Blumstein,United States,Portland,Oregon,West,Office Supplies,141.76,5
26-09-2015,Tracy Blumstein,United States,Portland,Oregon,West,Technology,239.8,5
26-09-2015,Tracy Blumstein,United States,Portland,Oregon,West,Office Supplies,31.104,6
18-12-2016,Alan Haines,United States,Tamarac,Florida,South,Office Supplies,254.058,7
18-12-2016,Alan Haines,United States,Tamarac,Florida,South,Office Supplies,194.528,2
18-12-2016,Alan Haines,United States,Tamarac,Florida,South,Office Supplies,961.48,5
20-11-2016,Nick Zandusky,United States,Columbus,Ohio,East,Office Supplies,19.096,7
20-11-2016,Nick Zandusky,United States,Columbus,Ohio,East,Office Supplies,18.496,8
20-11-2016,Nick Zandusky,United States,Columbus,Ohio,East,Technology,255.984,2
20-11-2016,Nick Zandusky,United States,Columbus,Ohio,East,Furniture,86.97,3
26-12-2014,Kelly Lampkin,United States,Colorado Springs,Colorado,West,Furniture,300.416,8
26-12-2014,Kelly Lampkin,United States,Colorado Springs,Colorado,West,Furniture,230.352,3
26-12-2014,Kelly Lampkin,United States,Colorado Springs,Colorado,West,Furniture,218.352,3
26-12-2014,Kelly Lampkin,United States,Colorado Springs,Colorado,West,Office Supplies,78.6,5
26-12-2014,Kelly Lampkin,United States,Colorado Springs,Colorado,West,Office Supplies,27.552,3
28-10-2016,Jonathan Doherty,United States,Belleville,New Jersey,East,Office Supplies,32.4,5
28-10-2016,Jonathan Doherty,United States,Belleville,New Jersey,East,Office Supplies,1082.48,8
28-10-2016,Jonathan Doherty,United States,Belleville,New Jersey,East,Office Supplies,56.91,3
28-10-2016,Jonathan Doherty,United States,Belleville,New Jersey,East,Furniture,77.6,4
28-10-2016,Jonathan Doherty,United States,Belleville,New Jersey,East,Office Supplies,14.28,1
19-11-2017,Jonathan Howell,United States,Chicago,Illinois,Central,Furniture,219.075,3
04-05-2015,Alan Schoenberger,United States,New York City,New York,East,Furniture,26.8,2
30-12-2014,Ken Brennan,United States,Taylor,Michigan,Central,Office Supplies,9.84,3
01-06-2014,Corey Roper,United States,Lakewood,New Jersey,East,Office Supplies,45.48,3
01-06-2014,Corey Roper,United States,Lakewood,New Jersey,East,Office Supplies,289.2,6
15-04-2017,Shahid Hopkins,United States,Arlington,Virginia,South,Office Supplies,4.89,1
12-09-2016,Ben Peterman,United States,Arvada,Colorado,West,Furniture,15.136,4
12-09-2016,Ben Peterman,United States,Arvada,Colorado,West,Furniture,466.768,2
12-09-2016,Ben Peterman,United States,Arvada,Colorado,West,Furniture,15.232,1
12-09-2016,Ben Peterman,United States,Arvada,Colorado,West,Office Supplies,6.264,3
27-09-2014,Thomas Seio,United States,Hackensack,New Jersey,East,Furniture,87.54,3
09-08-2014,Andy Gerbode,United States,Saint Petersburg,Florida,South,Technology,178.384,2
09-08-2014,Andy Gerbode,United States,Saint Petersburg,Florida,South,Office Supplies,15.552,3
28-12-2014,Sung Pak,United States,Philadelphia,Pennsylvania,East,Office Supplies,99.136,4
04-11-2014,Nathan Mautz,United States,New York City,New York,East,Furniture,135.882,1
04-11-2014,Nathan Mautz,United States,New York City,New York,East,Technology,3991.98,2
04-11-2014,Nathan Mautz,United States,New York City,New York,East,Technology,275.94,6
04-11-2014,Nathan Mautz,United States,New York City,New York,East,Technology,360,4
04-11-2014,Nathan Mautz,United States,New York City,New York,East,Office Supplies,43.57,1
19-09-2014,Frank Atkinson,United States,Long Beach,California,West,Office Supplies,7.16,2
